utterance,expected_intent
Show me how many Salaam points I can redeem for rewards.,Redeem Mashreq Vantage Points
Redeem my Salaam points for vouchers.,Redeem Mashreq Vantage Points
Hi there! I would love to use my Salaam points for a flight ticket.,Redeem Mashreq Vantage Points
I have been saving these points for months and want to redeem them for a hotel stay during my vacation.,Redeem Mashreq Vantage Points
I am not planning to redeem any points right now.,Redeem Mashreq Vantage Points
plese reedem my salm ponts for gift.,Redeem Mashreq Vantage Points
What is the current exchange rate for USD to AED?,Exchange Rate Calculator
Calculate currency conversion for 500 dollars.,Exchange Rate Calculator
Good morning! Can you tell me how much 100 euros is in dirhams?,Exchange Rate Calculator
I am traveling to London next week and need to know the conversion for GBP to AED before booking.,Exchange Rate Calculator
I do not need any currency conversion details right now.,Exchange Rate Calculator
plz calclate currncy for 500 dolars.,Exchange Rate Calculator
Do I qualify for the joining bonus on my new credit card?,Joining Bonus
Check my joining bonus eligibility.,Joining Bonus
"Hey! I just signed up for a card, can you confirm my joining bonus?",Joining Bonus
I applied for a premium card last week and want to know if the joining bonus has been credited.,Joining Bonus
Forget about checking the joining bonus for now.,Joining Bonus
plese chek jonning bonas for my acount.,Joining Bonus
I need to update my signature on file.,Customer Signature Update
Update my signature immediately.,Customer Signature Update
Hello! Can you help me change my signature in your records?,Customer Signature Update
I changed my signature recently and need to update it before my next cheque book request.,Customer Signature Update
I do not want to update my signature anymore.,Customer Signature Update
plese updte my signaturr asap.,Customer Signature Update
Send my OTP to my email instead of SMS.,OTP through email request
Email OTP now.,OTP through email request
Hi! Could you send the OTP to my registered email address?,OTP through email request
"I am traveling and do not have access to my phone, please email the OTP urgently.",OTP through email request
Do not send any OTP to my email.,OTP through email request
plese snd OTP to emal.,OTP through email request
I need to reset my TIN immediately.,TIN Reset
Reset my TIN now.,TIN Reset
Hi there! Can you help me reset my TIN?,TIN Reset
I forgot my Telephone identification number after updating my banking app and need to reset it urgently.,TIN Reset
Do not reset my TIN anymore.,TIN Reset
plese rset my TIN asap.,TIN Reset
Check the status of my disputed transaction.,Transaction Dispute Status
Show dispute status now.,Transaction Dispute Status
Good morning! Can you confirm if my disputed transaction has been resolved?,Transaction Dispute Status
